Neighborhood  District,Year,Fire Incidents,Other Incidents
Castro/Upper Market,2009,68,655
Castro/Upper Market,2011,116,539
Castro/Upper Market,2010,83,621
Castro/Upper Market,2013,81,617
Castro/Upper Market,2012,98,656
Sunset/Parkside,2016,131,1085
Sunset/Parkside,2017,26,410
Sunset/Parkside,2003,77,497
Sunset/Parkside,2006,72,448
Sunset/Parkside,2007,65,450
Sunset/Parkside,2004,85,412
Sunset/Parkside,2005,85,424
Sunset/Parkside,2015,139,1053
Sunset/Parkside,2014,129,797
Sunset/Parkside,2008,71,428
Sunset/Parkside,2009,83,458
Sunset/Parkside,2011,66,482
Sunset/Parkside,2010,60,464
Sunset/Parkside,2013,71,518
Sunset/Parkside,2012,70,546
McLaren Park,2016,18,55
McLaren Park,2017,3,15
McLaren Park,2003,24,39
McLaren Park,2006,18,25
McLaren Park,2007,6,29
McLaren Park,2004,13,24
McLaren Park,2005,13,25
McLaren Park,2015,15,50
McLaren Park,2014,9,47
McLaren Park,2008,10,33
McLaren Park,2009,8,35
McLaren Park,2011,11,38
McLaren Park,2010,14,61
McLaren Park,2013,4,23
McLaren Park,2012,11,36
Nob Hill,2016,88,927
Nob Hill,2017,28,280
Nob Hill,2003,118,860
Nob Hill,2006,151,799
Nob Hill,2007,146,812
Nob Hill,2004,135,927
Nob Hill,2005,116,790
Nob Hill,2015,105,999
Nob Hill,2014,105,847
Nob Hill,2008,121,803
Nob Hill,2009,131,745
Nob Hill,2011,121,825
Nob Hill,2010,112,843
Nob Hill,2013,122,900
Nob Hill,2012,112,872
Lakeshore,2016,67,494
Lakeshore,2017,15,153
Lakeshore,2003,33,305
Lakeshore,2006,36,262
Lakeshore,2007,34,319
Lakeshore,2004,37,285
Lakeshore,2005,27,241
Lakeshore,2015,65,503
Lakeshore,2014,54,439
Lakeshore,2008,56,417
Lakeshore,2009,61,412
Lakeshore,2011,65,433
Lakeshore,2010,59,421
Lakeshore,2013,55,403
Lakeshore,2012,73,463
Chinatown,2016,94,866
Chinatown,2017,25,218
Chinatown,2003,71,849
Chinatown,2006,91,597
Chinatown,2007,78,641
Chinatown,2004,70,531
Chinatown,2005,80,507
Chinatown,2015,78,801
Chinatown,2014,71,691
Chinatown,2008,61,489
Chinatown,2009,64,538
Chinatown,2011,85,650
Chinatown,2010,69,585
Chinatown,2013,102,592
Chinatown,2012,91,558
West of Twin Peaks,2016,62,654
West of Twin Peaks,2017,17,238
West of Twin Peaks,2003,37,320
West of Twin Peaks,2006,36,304
West of Twin Peaks,2007,23,288
West of Twin Peaks,2004,50,314
West of Twin Peaks,2005,29,303
West of Twin Peaks,2015,56,748
West of Twin Peaks,2014,68,576
West of Twin Peaks,2008,24,311
West of Twin Peaks,2009,34,284
West of Twin Peaks,2011,35,365
West of Twin Peaks,2010,33,340
West of Twin Peaks,2013,21,339
West of Twin Peaks,2012,45,358
Noe Valley,2016,40,390
Noe Valley,2017,8,144
Noe Valley,2003,40,300
Noe Valley,2006,37,264
Noe Valley,2007,35,254
Noe Valley,2004,30,264
Noe Valley,2005,29,264
Noe Valley,2015,50,399
Noe Valley,2014,30,284
Noe Valley,2008,32,282
Noe Valley,2009,39,268
Noe Valley,2011,33,278
Noe Valley,2010,28,270
Noe Valley,2013,38,297
Noe Valley,2012,50,304
North Beach,2016,58,578
North Beach,2017,12,203
North Beach,2003,66,656
North Beach,2006,61,460
North Beach,2007,62,465
North Beach,2004,52,567
North Beach,2005,56,510
North Beach,2015,68,625
North Beach,2014,54,481
North Beach,2008,57,464
North Beach,2009,47,450
North Beach,2011,57,542
North Beach,2010,51,500
North Beach,2013,66,499
North Beach,2012,59,514
Marina,2016,93,776
Marina,2017,23,207
Marina,2003,113,548
Marina,2006,97,518
Marina,2007,71,643
Marina,2004,90,551
Marina,2005,61,475
Marina,2015,87,715
Marina,2014,76,541
Marina,2008,83,546
Marina,2009,77,526
Marina,2011,55,516
Marina,2010,84,585
Marina,2013,72,596
Marina,2012,76,494
Haight Ashbury,2016,54,398
Haight Ashbury,2017,14,124
Haight Ashbury,2003,71,414
Haight Ashbury,2006,58,288
Haight Ashbury,2007,62,338
Haight Ashbury,2004,70,361
Haight Ashbury,2005,55,340
Haight Ashbury,2015,61,439
Haight Ashbury,2014,58,348
Haight Ashbury,2008,66,338
Haight Ashbury,2009,69,347
Haight Ashbury,2011,45,351
Haight Ashbury,2010,49,325
Haight Ashbury,2013,47,377
Haight Ashbury,2012,33,379
Lincoln Park,2016,3,25
Lincoln Park,2017,0,11
Lincoln Park,2003,7,57
Lincoln Park,2006,4,21
Lincoln Park,2007,5,23
Lincoln Park,2004,4,63
Lincoln Park,2005,5,36
Lincoln Park,2015,4,33
Lincoln Park,2014,5,30
Lincoln Park,2008,6,29
Lincoln Park,2009,2,22
Lincoln Park,2011,1,18
Lincoln Park,2010,2,26
Lincoln Park,2013,1,31
Lincoln Park,2012,1,34
Bayview Hunters Point,2016,352,1276
Bayview Hunters Point,2017,82,424
Bayview Hunters Point,2003,223,850
Bayview Hunters Point,2006,221,652
Bayview Hunters Point,2007,242,732
Bayview Hunters Point,2004,216,747
Bayview Hunters Point,2005,215,680
Bayview Hunters Point,2015,269,1214
Bayview Hunters Point,2014,198,981
Bayview Hunters Point,2008,216,789
Bayview Hunters Point,2009,220,722
Bayview Hunters Point,2011,142,714
Bayview Hunters Point,2010,158,818
Bayview Hunters Point,2013,141,817
Bayview Hunters Point,2012,159,758
Seacliff,2016,10,52
Seacliff,2017,1,20
Seacliff,2003,2,25
Seacliff,2006,0,30
Seacliff,2007,2,31
Seacliff,2004,2,12
Seacliff,2005,2,21
Seacliff,2015,3,48
Seacliff,2014,1,45
Seacliff,2008,5,23
Seacliff,2009,1,23
Seacliff,2011,1,24
Seacliff,2010,2,29
Seacliff,2013,2,23
Seacliff,2012,2,29
Lone Mountain/USF,2016,37,347
Lone Mountain/USF,2017,17,133
Lone Mountain/USF,2003,39,325
Lone Mountain/USF,2006,47,223
Lone Mountain/USF,2007,36,257
Lone Mountain/USF,2004,49,281
Lone Mountain/USF,2005,45,270
Lone Mountain/USF,2015,57,361
Lone Mountain/USF,2014,51,279
Lone Mountain/USF,2008,40,267
Lone Mountain/USF,2009,35,268
Lone Mountain/USF,2011,26,260
Lone Mountain/USF,2010,28,250
